tweet_id,tweet_text,class_label,predicted_label,confidence,entropy,status
914134332226330625,San Juan: Trump lashes out with good reason. #PuertoRico has NEVER received more aid faster.,other_relevant_information,not_humanitarian,0.95,,ok
910783670134476800,Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico by THE NEW YORK TIMES via NYT,caution_and_advice,other_relevant_information,0.85,,ok
912134938727780355,"Getting food to the island is, obviously, critical.",rescue_volunteering_or_donation_effort,requests_or_urgent_needs,0.85,,ok
912385296557334530,Is our Government really going forsake these wonderful US Citizens. Send help for goodness sake. Think of the children,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,0.85,,ok
913047145225375745,"From the South: .@EduardomteleSUR: Some communities havent had access to water since Irma, and now Hurricane Maria has worsened things.",other_relevant_information,infrastructure_and_utility_damage,0.95,,ok
913171275190870016,"RING THE ISLAND WITH NAVAL VESSELS, A/C CARRIERS FOR AIR EVAC, HOSPITAL SHIPS TO AID THE HOSPITALS AND INJURED AND LAND AMPHIBIOUS VEHICLES!",other_relevant_information,displaced_people_and_evacuations,0.85,,ok
912413151571972096,Puerto Rico Hurricane Maria Relief Fund M&amp;T Bank Account # 9873254693,other_relevant_information,rescue_volunteering_or_donation_effort,0.9,,ok
914642411854458880,MAKE IT VIRAL. PR Mayor blocking FOOD- TEARFUL PRs cop telling the truth about Hurricane Marias aid  via @YouTube,other_relevant_information,infrastructure_and_utility_damage,0.8,,ok
914205589047259136,.@USArmy #soldiers of the 602nd ASMC @FtBraggNC return to #USVI to provide medical assistance for #HurricaneMaria #ReliefEfforts.,other_relevant_information,rescue_volunteering_or_donation_effort,0.95,,ok
913088443198136320,Absolutely heartbreaking. Please do what you can to help. Find an organization you trust and give what you can.,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.9,,ok
911620273488703488,RT @ItsJalissaG: Seeing all the damage hurricane Maria has done hurts my heart,infrastructure_and_utility_damage,sympathy_and_support,0.95,,ok
914233070416535552,"@Dreamweasel Ive seen itwhy didnt they just stock their supplies better?check their pantries, garages, sheds, etc.",other_relevant_information,not_humanitarian,0.95,,ok
913427756964249602,Help us help our Puerto Rico employees and their families who survived Hurricane Maria.,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.9,,ok
913794705011433472,Al Jazeera English: Puerto Rico demands more aid after Hurricane Maria devastation.,other_relevant_information,requests_or_urgent_needs,0.85,,ok
