class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,62,1,3,4,0,10,16,0,1,0
displaced_people_and_evacuations,10,217,2,3,0,6,0,3,11,6
infrastructure_and_utility_damage,2,19,203,18,1,24,10,3,4,11
injured_or_dead_people,1,36,36,1190,15,40,10,0,6,28
missing_or_found_people,0,0,0,32,88,0,2,0,0,3
not_humanitarian,12,17,25,15,1,734,38,7,6,68
other_relevant_information,35,30,78,20,2,353,140,4,18,47
requests_or_urgent_needs,1,0,1,2,1,2,0,20,28,0
rescue_volunteering_or_donation_effort,5,25,6,16,12,50,41,15,793,28
sympathy_and_support,5,10,1,4,2,5,0,1,35,267
